Categoria,Contexto
Preguntas Generales,"El grupo estudiantil NOVA es el 13avo grupo del 5to piso en el bloque 29. Se centra en tecnología e innovación, buscando fomentar un entorno para abordar problemas cotidianos de manera creativa. NOVA está compuesto por 4 departamentos: RRPP, Mercadeo, Gestión Humana y Comunidades. Fue creado el 19 de octubre de 2022 con el propósito de ofrecer soluciones innovadoras"
RRPP,"RRPP como  departamento de NOVA, se encarga de llevar las alianzas con otras marcas, los proveedores, patrocinadores, entre otros. Este departamento es muy importante, ya que nos da mas alcance y calidad para los eventos del grupo"
Mercadeo,"Mercadeo es un departamento muy importante para el grupo estudiantil. Este se encarga de la imagen de la marca NOVA, de maxmizar la visivilidad y alcance del grupo, sus eventos, y de llamar la atención del publico!"
GH,"Gestion Humana es un pilar fundamental de NOVA. Este departamento se encaga de velar por el cuidado de todos los miembros dentro del grupo estudiantil. Realizan actividades para el cuidado de los espacios del grupo, sus miembros, y se encargan de las actividades de integración para propiciar mayor coperacion, hermanismos, amistad, y en general mayor calidad huamana"
Communities,"Communities es el departamento distintivo del grupo estudiantil. Se encarga de todas las actividades de desarrollo tecnológico. En este departamento, los miembros se organizan en equipos o 'Comunidades' para trabajar en proyectos diversos, como desarrollo de software, frontend, backend, y más. Estos proyectos pueden ser tanto internos del grupo estudiantil como colaboraciones con marcas aliadas."
MacroEventos,"Los eventos principales de NOVA comienzan con las Hackathones, celebradas anualmente durante el primer semestre. Este desafío reúne a equipos multidisciplinarios que, en un tiempo limitado, desarrollan un producto mínimo viable para abordar desafíos establecidos por el grupo y las marcas aliadas, como el evento NEXT, el segundo macro evento de NOVA.

La BetaHack marcó la primera versión de la Hackathon en el 2023-1 y fue el primer macro evento realizado por el grupo. Fue una versión a escala menor, donde solo participaron estudiantes de la Universidad EAFIT.

NEXT se lleva a cabo en el segundo semestre de cada año con el propósito de llamar la atención de marcas y estudiantes hacia diversas áreas tecnológicas y su enorme potencial.

Además de estos macro eventos, NOVA también ha brindado apoyo a varios eventos, como el 17vo Congreso de Computación Colombiano."
NovaTalks,"Las NOVA Talks son una propues e iniciativa muy buena! Estas consisten en charlas, por algun miembro del grupo estudiantil sobre tematicas relacionadas con algo de inters para el grupo estudiantil, tanto al publico general, como a solo los miembros del propio grupo. En algunos casos, miembros de alianzas de NOVA, dieron charlas tambien"
Alianzas,"NODO es un gran aliado y casi familiar de NOVA. Esta alianza se encarga fortalecer el desarrollo del Grupo Estudiantil para aquellos que no conocen o no tienen experiencia en el mundo de la programación y la tecnología, A futuro, el objetivo es vincular el grupo con mas alianzas que beneficien tanto a los integrantes de NOVA como a la comunidad universitaria"
